"Name","City","Country","IATA","Latitude","Longitude"
32,Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784
34,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
35,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
36,Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
37,Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
38,Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.939002991
39,Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
40,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
41,Dawson City Airport,Dawson,Canada,YDA,64.04309844970703,-139.1280059814453
42,Burwash Airport,Burwash,Canada,YDB,61.37110137939453,-139.04100036621094
44,Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492
45,Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
46,Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956054688,-100.052001953125
47,Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.18299865722656
48,Edmonton International Airport,Edmonton,Canada,YEG,53.3097000122,-113.580001831
49,Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812
50,Estevan Airport,Estevan,Canada,YEN,49.2103004456,-102.966003418
51,Edson Airport,Edson,Canada,YET,53.5788993835,-116.464996338
52,Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355
53,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709
54,Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
55,Fredericton Airport,Fredericton,Canada,YFC,45.868900299072266,-66.53720092773438
56,Forestville Airport,Forestville,Canada,YFE,48.74610137939453,-69.09719848632812
57,Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654295
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171876
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.625301361083984,-77.7042007446289
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.7752990723,-64.4785995483
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830123901367,-86.93939971923828
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.310997009
66,Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.1735992432,-79.93499755859999
